Time [Seconds],Amplitude [V]
0,0
0.0001,0
0.0002,0
0.0003,0
0.0004,0
0.0005,0
0.0006,0
0.0007,0
0.0008,0
0.0009,0
0.001,0
0.0011,0
0.0012,0
0.0013,0
0.0014,0
0.0015,0
0.0016,0
0.0017,0
0.0018,0
0.0019,0
0.002,0
0.0021,0
0.0022,0
0.0023,0
0.0024,0
0.0025,0
0.0026,0
0.0027,0
0.0028,0
0.0029,0
0.003,0
0.0031,0
0.0032,0
0.0033,0
0.0034,0
0.0035,0
0.0036,0
0.0037,0
0.0038,0
0.0039,0
0.004,0
0.0041,0
0.0042,0
0.0043,0
0.0044,0
0.0045,0
0.0046,0
0.0047,0
0.0048,0
0.0049,0
0.005,0
0.0051,0
0.0052,0.00277610326644794
0.0053,0.0196729709678699
0.0054,0.050535190761987
0.0055,0.0939040884176111
0.0056,0.148452757395333
0.0057,0.212974413795462
0.0058,0.286371776705757
0.0059,0.367647383713221
0.006,0.455894759284189
0.0061,0.55029036095827
0.0062,0.65008623490589
0.0063,0.754603318422231
0.0064,0.863225332423484
0.0065,0.975393212021058
0.0066,1.09060002781839
0.0067,1.2083863547419
0.0068,1.32833604901788
0.0069,1.45007239737311
0.007,1.57325460569781
0.0071,1.6975745972924
0.0072,1.82275409344858
0.0073,1.94854195151331
0.0074,2.07471173777072
0.0075,2.20105951447158
0.0076,2.32740182215898
0.0077,2.45357384009751
0.0078,2.57942770912614
0.0079,2.70483100263507
0.008,2.8296653326248
0.0081,2.95382507895351
0.0082,3.07721623092565
0.0083,3.19975533132882
0.0084,3.32136851389691
0.0085,3.44199062597143
0.0086,3.56156442885677
0.0087,3.68003986902593
0.0088,3.79737341393523
0.0089,3.91352744675585
0.009,4.02846971483125
0.0091,4.14217282712594
0.0092,4.25461379634823
0.0093,4.36577362180918
0.0094,4.47563690942682
0.0095,4.58419152560074
0.0096,4.69142828197011
0.0097,4.79734064833164
0.0098,4.90192449123322
0.0099,5.00517783597793
0.01,5.10710064997248
0.0101,5.20769464553595
0.0102,5.30696310045067
0.0103,5.40491069468825
0.0104,5.50154336188179
0.0105,5.59686815424118
0.0106,5.69089311972291
0.0107,5.7836271903708
0.0108,5.87508008083931
0.0109,5.96526219619798
0.011,6.05418454819537
0.0111,6.14185867923273
0.0112,6.2282965933642
0.0113,6.31351069369998
0.0114,6.39751372564444
0.0115,6.48031872545063
0.0116,6.56193897361876
0.0117,6.6423879527077
0.0118,6.7216793091665
0.0119,6.79982681882763
0.012,6.87684435573534
0.0121,6.95274586401107
0.0122,7.02754533248445
0.0123,7.10125677184214
0.0124,7.1738941940688
0.0125,7.2454715939742
0.0126,7.31600293261892
0.0127,7.38550212246744
0.0128,7.45398301411262
0.0129,7.52145938442946
0.013,7.5879449260283
0.0131,7.65345323788956
0.0132,7.71799781707201
0.0133,7.78159205139665
0.0134,7.84424921301646
0.0135,7.90598245279073
0.0136,7.96680479538933
0.0137,8.02672913505948
0.0138,8.08576823199307
0.0139,8.14393470923843
0.014,8.2012410501052
0.0141,8.25769959601566
0.0142,8.31332254476008
0.0143,8.36812194911713
0.0144,8.42210971580435
0.0145,8.47529760472625
0.0146,8.52769722849107
0.0147,8.57932005216932
0.0148,8.63017739327006
0.0149,8.68028042191263
0.015,8.72964016117397
0.0151,8.77826748759305
0.0152,8.82617313181596
0.0153,8.87336767936638
0.0154,8.91986157152785
0.0155,8.96566510632515
0.0156,9.01078843959357
0.0157,9.05524158612578
0.0158,9.09903442088668
0.0159,9.1421766802881
0.016,9.18467796351523
0.0161,9.22654773389808
0.0162,9.26779532032144
0.0163,9.30842991866763
0.0164,9.34846059328686
0.0165,9.38789627849037
0.0166,9.4267457800622
0.0167,9.46501777678566
0.0168,9.50272082198097
0.0169,9.53986334505104
0.017,9.57645365303241
0.0171,9.61249993214886
0.0172,9.64801024936539
0.0173,9.68299255394052
0.0174,9.71745467897494
0.0175,9.751404342955
0.0176,9.78484915128942
0.0177,9.81779659783799
0.0178,9.85025406643101
0.0179,9.88222883237848
0.018,9.91372806396796
0.0181,9.94475882395057
0.0182,9.97532807101407
0.0183,10.0054426612427
0.0184,10.0351093495627
0.0185,10.0643347911742
0.0186,10.0931255429672
0.0187,10.1214880649235
0.0188,10.1494287215021
0.0189,10.1769537830098
0.019,10.2040694269551
0.0191,10.2307817393868
0.0192,10.2570967162157
0.0193,10.2830202645207
0.0194,10.3085582038378
0.0195,10.3337162674335
0.0196,10.3585001035613
0.0197,10.3829152767021
0.0198,10.4069672687883
0.0199,10.4306614804114
0.02,10.4540032320139
0.0201,10.4769977650646
0.0202,10.4996502432178
0.0203,10.5219657534576
0.0204,10.5439493072248
0.0205,10.56560584153
0.0206,10.5869402200494
0.0207,10.6079572342066
0.0208,10.6286616042382
0.0209,10.6490579802453
0.021,10.6691509432289
0.0211,10.6889450061114
0.0212,10.7084446147435
0.0213,10.7276541488958
0.0214,10.7465779232375
0.0215,10.7652201882995
0.0216,10.7835851314248
0.0217,10.8016768777045
0.0218,10.8194994909001
0.0219,10.8370569743533
0.022,10.854353271881
0.0221,10.871392268659
0.0222,10.8881777920914
0.0223,10.9047136126678
0.0224,10.9210034448083
0.0225,10.9370509476955
0.0226,10.9528597260947
0.0227,10.9684333311614
0.0228,10.9837752612383
0.0229,10.9988889626389
0.023,11.0137778304205
0.0231,11.0284452091461
0.0232,11.042894393634
0.0233,11.0571286296972
0.0234,11.0711511148716
0.0235,11.0849649991335
0.0236,11.0985733856063
0.0237,11.1119793312569
0.0238,11.1251858475819
0.0239,11.1381959012836
0.024,11.1510124149354
0.0241,11.1636382676384
0.0242,11.1760762956677
0.0243,11.1883292931087
0.0244,11.2004000124847
0.0245,11.212291165375
0.0246,11.2240054230233
0.0247,11.2355454169382
0.0248,11.2469137394834
0.0249,11.25811294446
0.025,11.2691455476804
0.0251,11.2800140275326
0.0252,11.2907208255373
0.0253,11.3012683468961
0.0254,11.3116589610313
0.0255,11.3218950021187
0.0256,11.3319787696112
0.0257,11.3419125287556
0.0258,11.3516985111013
0.0259,11.3613389150014
0.026,11.3708359061066
0.0261,11.3801916178516
0.0262,11.3894081519344
0.0263,11.3984875787879
0.0264,11.4074319380455
0.0265,11.4162432389991
0.0266,11.4249234610501
0.0267,11.4334745541545
0.0268,11.4418984392606
0.0269,11.4501970087405
0.027,11.4583721268153
0.0271,11.4664256299738
0.0272,11.4743593273848
0.0273,11.4821750013042
0.0274,11.4898744074744
0.0275,11.4974592755193
0.0276,11.5049313093328
0.0277,11.5122921874613
0.0278,11.519543563481
0.0279,11.5266870663691
0.028,11.5337243008702
0.0281,11.5406568478561
0.0282,11.5474862646814
0.0283,11.5542140855334
0.0284,11.5608418217763
0.0285,11.5673709622911
0.0286,11.57380297381
0.0287,11.5801393012457
0.0288,11.586381368016
0.0289,11.592530576364
0.029,11.5985883076725
0.0291,11.6045559227745
0.0292,11.6104347622593
0.0293,11.616226146773
0.0294,11.6219313773156
0.0295,11.6275517355333
0.0296,11.633088484006
0.0297,11.6385428665314
0.0298,11.6439161084041
0.0299,11.6492094166911
0.03,11.6544239805025
0.0301,11.6595609712593
0.0302,11.6646215429559
0.0303,11.6696068324199
0.0304,11.6745179595669
0.0305,11.6793560276527
0.0306,11.6841221235205
0.0307,11.6888173178457
0.0308,11.6934426653758
0.0309,11.6979992051679
0.031,11.7024879608217
0.0311,11.7069099407096
0.0312,11.7112661382033
0.0313,11.7155575318969
0.0314,11.7197850858265
0.0315,11.7239497496873
0.0316,11.7280524590463
0.0317,11.732094135553
0.0318,11.7360756871463
0.0319,11.7399980082581
0.032,11.7438619800148
0.0321,11.7476684704348
0.0322,11.7514183346238
0.0323,11.7551124149666
0.0324,11.7587515413167
0.0325,11.7623365311822
0.0326,11.7658681899101
0.0327,11.7693473108666
0.0328,11.7727746756158
0.0329,11.7761510540949
0.033,11.7794772047875
0.0331,11.7827538748937
0.0332,11.7859818004982
0.0333,11.7891617067353
0.0334,11.7922943079524
0.0335,11.7953803078698
0.0336,11.7984203997393
0.0337,11.8014152664994
0.0338,11.8043655809295
0.0339,11.8072720058003
0.034,11.8101351940229
0.0341,11.8129557887959
0.0342,11.815734423749
0.0343,11.8184717230864
0.0344,11.8211683017263
0.0345,11.823824765439
0.0346,11.8264417109835
0.0347,11.8290197262413
0.0348,11.8315593903483
0.0349,11.834061273825
0.035,11.8365259387049
0.0351,11.8389539386604
0.0352,11.8413458191273
0.0353,11.8437021174276
0.0354,11.8460233628898
0.0355,11.848310076968
0.0356,11.850562773359
0.0357,11.8527819581178
0.0358,11.8549681297712
0.0359,11.8571217794298
0.036,11.8592433908983
0.0361,11.8613334407843
0.0362,11.863392398605
0.0363,11.8654207268934
0.0364,11.8674188813012
0.0365,11.8693873107023
0.0366,11.8713264572927
0.0367,11.8732367566901
0.0368,11.8751186380322
0.0369,11.8769725240725
0.037,11.8787988312755
0.0371,11.8805979699105
0.0372,11.8823703441433
0.0373,11.8841163521273
0.0374,11.885836386093
0.0375,11.8875308324359
0.0376,11.8892000718033
0.0377,11.8908444791801
0.0378,11.8924644239727
0.0379,11.8940602700921
0.038,11.8956323760358
0.0381,11.8971810949681
0.0382,11.8987067747996
0.0383,11.9002097582653
0.0384,11.9016903830015
0.0385,11.903148981622
0.0386,11.9045858817922
0.0387,11.9060014063034
0.0388,11.9073958731448
0.0389,11.9087695955751
0.039,11.9101228821931
0.0391,11.9114560370065
0.0392,11.9127693595008
0.0393,11.9140631447061
0.0394,11.9153376832636
0.0395,11.916593261491
0.0396,11.9178301614465
0.0397,11.9190486609923
0.0398,11.9202490338572
0.0399,11.921431549698
0.04,11.9225964741598
0.0401,11.923744068936
0.0402,11.9248745918271
0.0403,11.9259882967984
0.0404,11.9270854340371
0.0405,11.9281662500086
0.0406,11.929230987512
0.0407,11.9302798857341
0.0408,11.9313131803039
0.0409,11.9323311033447
0.041,11.9333338835272
0.0411,11.9343217461199
0.0412,11.9352949130403
0.0413,11.9362536029047
0.0414,11.9371980310771
0.0415,11.9381284097177
0.0416,11.9390449478306
0.0417,11.9399478513107
0.0418,11.9408373229899
0.0419,11.9417135626828
0.042,11.9425767672315
0.0421,11.9434271305499
0.0422,11.9442648436669
0.0423,11.94509009477
0.0424,11.945903069247
0.0425,11.9467039497277
0.0426,11.9474929161253
0.0427,11.9482701456764
0.0428,11.9490358129811
0.0429,11.9497900900419
0.043,11.9505331463029
0.0431,11.9512651486871
0.0432,11.9519862616348
0.0433,11.9526966471395
0.0434,11.9533964647852
0.0435,11.954085871782
0.0436,11.9547650230008
0.0437,11.9554340710092
0.0438,11.9560931661048
0.0439,11.9567424563493
0.044,11.9573820876022
0.0441,11.9580122035526
0.0442,11.9586329457526
0.0443,11.9592444536481
0.0444,11.9598468646108
0.0445,11.9604403139688
0.0446,11.9610249350369
0.0447,11.961600859147
0.0448,11.9621682156768
0.0449,11.9627271320798
0.045,11.9632777339132
0.0451,11.9638201448664
0.0452,11.964354486789
0.0453,11.9648808797176
0.0454,11.9653994419033
0.0455,11.9659102898381
0.0456,11.9664135382809
0.0457,11.9669093002836
0.0458,11.9673976872161
0.0459,11.9678788087917
0.046,11.9683527730916
0.0461,11.968819686589
0.0462,11.9692796541733
0.0463,11.9697327791735
0.0464,11.9701791633815
0.0465,11.9706189070748
0.0466,11.9710521090393
0.0467,11.9714788665912
0.0468,11.9718992755992
0.0469,11.9723134305055
0.047,11.9727214243478
0.0471,11.9731233487794
0.0472,11.9735192940902
0.0473,11.973909349227
0.0474,11.9742936018135
0.0475,11.9746721381697
0.0476,11.9750450433316
0.0477,11.9754124010701
0.0478,11.97577429391
0.0479,11.9761308031483
0.048,11.9764820088728
0.0481,11.9768279899798
0.0482,11.9771688241918
0.0483,11.9775045880753
0.0484,11.9778353570577
0.0485,11.9781612054443
0.0486,11.9784822064349
0.0487,11.9787984321406
0.0488,11.9791099535997
0.0489,11.9794168407935
0.049,11.9797191626624
0.0491,11.9800169871214
0.0492,11.9803103810749
0.0493,11.9805994104321
0.0494,11.9808841401218
0.0495,11.9811646341068
0.0496,11.9814409553984
0.0497,11.9817131660707
0.0498,11.9819813272741
0.0499,11.9822454992494
0.05,11.9825057413414
0.0501,11.9827621120119
0.0502,11.983014668853
0.0503,11.9832634686001
0.0504,11.9835085671448
0.0505,11.9837500195468
0.0506,11.9839878800471
0.0507,11.9842222020796
0.0508,11.9844530382833
0.0509,11.9846804405144
0.051,11.9849044598573
0.0511,11.9851251466367
0.0512,11.9853425504285
0.0513,11.9855567200713
0.0514,11.985767703677
0.0515,11.9859755486418
0.0516,11.9861803016569
0.0517,11.9863820087188
0.0518,11.9865807151398
0.0519,11.9867764655581
0.052,11.986969303948
0.0521,11.9871592736295
0.0522,11.987346417278
0.0523,11.9875307769344
0.0524,11.9877123940139
0.0525,11.9878913093158
0.0526,11.9880675630322
0.0527,11.9882411947577
0.0528,11.9884122434975
0.0529,11.9885807476766
0.053,11.9887467451487
0.0531,11.988910273204
0.0532,11.9890713685782
0.0533,11.9892300674603
0.0534,11.9893864055012
0.0535,11.9895404178212
0.0536,11.9896921390184
0.0537,11.989841603176
0.0538,11.9899888438702
0.0539,11.9901338941778
0.054,11.9902767866836
0.0541,11.9904175534873
0.0542,11.9905562262116
0.0543,11.9906928360084
0.0544,11.9908274135663
0.0545,11.9909599891173
0.0546,11.9910905924437
0.0547,11.9912192528849
0.0548,11.9913459993437
0.0549,11.9914708602928
0.055,11.9915938637815
0.0551,11.991715037442
0.0552,11.9918344084951
0.0553,11.9919520037568
0.0554,11.9920678496442
0.0555,11.9921819721814
0.0556,11.9922943970053
0.0557,11.9924051493716
0.0558,11.9925142541601
0.0559,11.9926217358805
0.056,11.9927276186781
0.0561,11.9928319263386
0.0562,11.9929346822943
0.0563,11.9930359096287
0.0564,11.9931356310818
0.0565,11.9932338690555
0.0566,11.9933306456184
0.0567,11.9934259825108
0.0568,11.9935199011496
0.0569,11.993612422633
0.057,11.9937035677454
0.0571,11.9937933569621
0.0572,11.9938818104536
0.0573,11.9939689480905
0.0574,11.9940547894478
0.0575,11.9941393538092
0.0576,11.9942226601717
0.0577,11.9943047272494
0.0578,11.9943855734783
0.0579,11.9944652170201
0.058,11.9945436757661
0.0581,11.9946209673416
0.0582,11.9946971091098
0.0583,11.9947721181755
0.0584,11.994846011389
0.0585,11.9949188053499
0.0586,11.9949905164111
0.0587,11.995061160682
0.0588,11.9951307540323
0.0589,11.9951993120959
0.059,11.9952668502738
0.0591,11.9953333837383
0.0592,11.9953989274355
0.0593,11.9954634960896
0.0594,11.9955271042054
0.0595,11.9955897660722
0.0596,11.9956514957665
0.0597,11.9957123071557
0.0598,11.9957722139006
0.0599,11.9958312294589
0.06,11.9958893670882
0.0601,11.9959466398486
0.0602,11.9960030606062
0.0603,11.9960586420355
0.0604,11.9961133966227
0.0605,11.996167336668
0.0606,11.9962204742887
0.0607,11.9962728214218
0.0608,11.996324389827
0.0609,11.9963751910886
0.061,11.9964252366188
0.0611,11.9964745376603
0.0612,11.996523105288
0.0613,11.9965709504125
0.0614,11.9966180837818
0.0615,11.9966645159843
0.0616,11.9967102574505
0.0617,11.9967553184562
0.0618,11.9967997091239
0.0619,11.9968434394258
0.062,11.9968865191856
0.0621,11.9969289580809
0.0622,11.9969707656454
0.0623,11.9970119512709
0.0624,11.9970525242096
0.0625,11.9970924935758
0.0626,11.9971318683485
0.0627,11.997170657373
0.0628,11.997208869363
0.0629,11.9972465129026
0.063,11.9972835964482
0.0631,11.9973201283304
0.0632,11.9973561167558
0.0633,11.9973915698092
0.0634,11.9974264954547
0.0635,11.9974609015382
0.0636,11.9974947957889
0.0637,11.9975281858209
0.0638,11.9975610791351
0.0639,11.9975934831207
0.064,11.9976254050571
0.0641,11.9976568521155
0.0642,11.9976878313601
0.0643,11.9977183497503
0.0644,11.9977484141419
0.0645,11.9977780312886
0.0646,11.9978072078439
0.0647,11.9978359503619
0.0648,11.9978642652996
0.0649,11.9978921590178
0.065,11.9979196377825
0.0651,11.9979467077668
0.0652,11.9979733750518
0.0653,11.997999645628
0.0654,11.9980255253971
0.0655,11.9980510201728
0.0656,11.9980761356823
0.0657,11.9981008775676
0.0658,11.998125251387
0.0659,11.9981492626158
0.066,11.998172916648
0.0661,11.9981962187974
0.0662,11.9982191742985
0.0663,11.9982417883084
0.0664,11.998264065907
0.0665,11.9982860120989
0.0666,11.9983076318142
0.0667,11.9983289299096
0.0668,11.9983499111696
0.0669,11.9983705803075
0.067,11.9983909419666
0.0671,11.9984110007209
0.0672,11.9984307610766
0.0673,11.9984502274726
0.0674,11.998469404282
0.0675,11.9984882958128
0.0676,11.9985069063088
0.0677,11.9985252399508
0.0678,11.9985433008572
0.0679,11.9985610930855
0.068,11.9985786206324
0.0681,11.9985958874355
0.0682,11.9986128973737
0.0683,11.9986296542681
0.0684,11.998646161883
0.0685,11.9986624239269
0.0686,11.9986784440528
0.0687,11.9986942258596
0.0688,11.9987097728927
0.0689,11.9987250886444
0.069,11.9987401765555
0.0691,11.9987550400154
0.0692,11.998769682363
0.0693,11.9987841068876
0.0694,11.9987983168297
0.0695,11.9988123153814
0.0696,11.9988261056874
0.0697,11.9988396908456
0.0698,11.9988530739079
0.0699,11.9988662578806
0.07,11.9988792457256
0.0701,11.9988920403603
0.0702,11.9989046446591
0.0703,11.9989170614534
0.0704,11.9989292935327
0.0705,11.9989413436446
0.0706,11.9989532144964
0.0707,11.9989649087546
0.0708,11.9989764290463
0.0709,11.9989877779595
0.071,11.9989989580436
0.0711,11.9990099718103
0.0712,11.9990208217335
0.0713,11.9990315102509
0.0714,11.9990420397633
0.0715,11.9990524126363
0.0716,11.9990626312001
0.0717,11.9990726977501
0.0718,11.9990826145478
0.0719,11.9990923838209
0.072,11.9991020077641
0.0721,11.9991114885393
0.0722,11.9991208282762
0.0723,11.9991300290731
0.0724,11.9991390929968
0.0725,11.9991480220835
0.0726,11.999156818339
0.0727,11.9991654837393
0.0728,11.9991740202312
0.0729,11.9991824297323
0.073,11.9991907141317
0.0731,11.9991988752904
0.0732,11.9992069150418
0.0733,11.9992148351921
0.0734,11.9992226375204
0.0735,11.9992303237794
0.0736,11.9992378956959
0.0737,11.9992453549707
0.0738,11.9992527032797
0.0739,11.9992599422736
0.074,11.9992670735784
0.0741,11.9992740987964
0.0742,11.9992810195056
0.0743,11.9992878372607
0.0744,11.9992945535933
0.0745,11.9993011700122
0.0746,11.9993076880038
0.0747,11.9993141090321
0.0748,11.9993204345398
0.0749,11.9993266659478
0.075,11.9993328046559
0.0751,11.9993388520431
0.0752,11.999344809468
0.0753,11.9993506782689
0.0754,11.9993564597642
0.0755,11.9993621552526
0.0756,11.9993677660136
0.0757,11.9993732933076
0.0758,11.9993787383763
0.0759,11.9993841024429
0.076,11.9993893867124
0.0761,11.9993945923719
0.0762,11.9993997205909
0.0763,11.9994047725212
0.0764,11.9994097492978
0.0765,11.9994146520388
0.0766,11.9994194818455
0.0767,11.9994242398028
0.0768,11.9994289269797
0.0769,11.9994335444291
0.077,11.9994380931882
0.0771,11.9994425742789
0.0772,11.9994469887079
0.0773,11.9994513374668
0.0774,11.9994556215325
0.0775,11.9994598418675
0.0776,11.9994639994199
0.0777,11.9994680951235
0.0778,11.9994721298985
0.0779,11.9994761046512
0.078,11.9994800202746
0.0781,11.9994838776483
0.0782,11.9994876776388
0.0783,11.9994914210998
0.0784,11.9994951088721
0.0785,11.9994987417844
0.0786,11.9995023206525
0.0787,11.9995058462806
0.0788,11.9995093194607
0.0789,11.9995127409729
0.079,11.9995161115859
0.0791,11.9995194320569
0.0792,11.9995227031318
0.0793,11.9995259255455
0.0794,11.9995291000217
0.0795,11.9995322272737
0.0796,11.999535308004
0.0797,11.9995383429047
0.0798,11.9995413326574
0.0799,11.9995442779339
0.08,11.9995471793958
0.0801,11.9995500376949
0.0802,11.9995528534733
0.0803,11.9995556273634
0.0804,11.9995583599886
0.0805,11.9995610519626
0.0806,11.9995637038902
0.0807,11.999566316367
0.0808,11.9995688899801
0.0809,11.9995714253075
0.081,11.9995739229188
0.0811,11.999576383375
0.0812,11.999578807229
0.0813,11.9995811950251
0.0814,11.9995835472998
0.0815,11.9995858645815
0.0816,11.9995881473908
0.0817,11.9995903962405
0.0818,11.9995926116358
0.0819,11.9995947940744
0.082,11.9995969440465
0.0821,11.9995990620351
0.0822,11.9996011485161
0.0823,11.999603203958
0.0824,11.9996052288228
0.0825,11.9996072235652
0.0826,11.9996091886333
0.0827,11.9996111244686
0.0828,11.999613031506
0.0829,11.9996149101739
0.083,11.9996167608942
0.0831,11.9996185840829
0.0832,11.9996203801493
0.0833,11.9996221494971
0.0834,11.9996238925236
0.0835,11.9996256096204
0.0836,11.9996273011733
0.0837,11.9996289675623
0.0838,11.9996306091617
0.0839,11.9996322263403
0.084,11.9996338194614
0.0841,11.9996353888828
0.0842,11.9996369349572
0.0843,11.9996384580318
0.0844,11.9996399584488
0.0845,11.9996414365452
0.0846,11.9996428926531
0.0847,11.9996443270997
0.0848,11.9996457402071
0.0849,11.9996471322927
0.085,11.9996485036694
0.0851,11.9996498546452
0.0852,11.9996511855235
0.0853,11.9996524966034
0.0854,11.9996537881793
0.0855,11.9996550605415
0.0856,11.9996563139757
0.0857,11.9996575487635
0.0858,11.9996587651824
0.0859,11.9996599635055
0.086,11.9996611440021
0.0861,11.9996623069374
0.0862,11.9996634525725
0.0863,11.9996645811649
0.0864,11.9996656929681
0.0865,11.9996667882319
0.0866,11.9996678672023
0.0867,11.9996689301217
0.0868,11.9996699772288
0.0869,11.9996710087589
0.087,11.9996720249438
0.0871,11.9996730260116
0.0872,11.9996740121874
0.0873,11.9996749836925
0.0874,11.9996759407453
0.0875,11.9996768835608
0.0876,11.9996778123507
0.0877,11.9996787273238
0.0878,11.9996796286855
0.0879,11.9996805166383
0.088,11.9996813913817
0.0881,11.9996822531123
0.0882,11.9996831020235
0.0883,11.9996839383062
0.0884,11.9996847621481
0.0885,11.9996855737343
0.0886,11.9996863732472
0.0887,11.9996871608664
0.0888,11.9996879367688
0.0889,11.9996887011286
0.089,11.9996894541177
0.0891,11.9996901959051
0.0892,11.9996909266576
0.0893,11.9996916465391
0.0894,11.9996923557116
0.0895,11.9996930543342
0.0896,11.999693742564
0.0897,11.9996944205555
0.0898,11.9996950884611
0.0899,11.9996957464307
0.09,11.9996963946122
0.0901,11.9996970331512
0.0902,11.9996976621912
0.0903,11.9996982818734
0.0904,11.9996988923371
0.0905,11.9996994937194
0.0906,11.9997000861554
0.0907,11.9997006697782
0.0908,11.9997012447189
0.0909,11.9997018111066
0.091,11.9997023690686
0.0911,11.9997029187302
0.0912,11.9997034602149
0.0913,11.9997039936444
0.0914,11.9997045191385
0.0915,11.9997050368152
0.0916,11.9997055467908
0.0917,11.9997060491799
0.0918,11.9997065440954
0.0919,11.9997070316483
0.092,11.9997075119483
0.0921,11.9997079851033
0.0922,11.9997084512195
0.0923,11.9997089104017
0.0924,11.9997093627529
0.0925,11.9997098083749
0.0926,11.9997102473677
0.0927,11.9997106798299
0.0928,11.9997111058587
0.0929,11.9997115255498
0.093,11.9997119389975
0.0931,11.9997123462947
0.0932,11.9997127475328
0.0933,11.999713142802
0.0934,11.9997135321911
0.0935,11.9997139157875
0.0936,11.9997142936775
0.0937,11.9997146659459
0.0938,11.9997150326763
0.0939,11.9997153939512
0.094,11.9997157498517
0.0941,11.9997161004577
0.0942,11.999716445848
0.0943,11.9997167861002
0.0944,11.9997171212907
0.0945,11.9997174514949
0.0946,11.9997177767869
0.0947,11.9997180972397
0.0948,11.9997184129255
0.0949,11.999718723915
0.095,11.9997190302781
0.0951,11.9997193320837
0.0952,11.9997196293996
0.0953,11.9997199222926
0.0954,11.9997202108284
0.0955,11.9997204950719
0.0956,11.9997207750869
0.0957,11.9997210509364
0.0958,11.9997213226822
0.0959,11.9997215903855
0.096,11.9997218541064
0.0961,11.9997221139041
0.0962,11.999722369837
0.0963,11.9997226219626
0.0964,11.9997228703375
0.0965,11.9997231150175
0.0966,11.9997233560576
0.0967,11.9997235935119
0.0968,11.9997238274338
0.0969,11.9997240578759
0.097,11.9997242848898
0.0971,11.9997245085266
0.0972,11.9997247288365
0.0973,11.9997249458691
0.0974,11.999725159673
0.0975,11.9997253702963
0.0976,11.9997255777864
0.0977,11.9997257821898
0.0978,11.9997259835524
0.0979,11.9997261819195
0.098,11.9997263773357
0.0981,11.9997265698448
0.0982,11.9997267594901
0.0983,11.9997269463141
0.0984,11.999727130359
0.0985,11.9997273116659
0.0986,11.9997274902757
0.0987,11.9997276662285
0.0988,11.9997278395637
0.0989,11.9997280103204
0.099,11.9997281785368
0.0991,11.9997283442508
0.0992,11.9997285074997
0.0993,11.9997286683199
0.0994,11.9997288267478
0.0995,11.9997289828189
0.0996,11.9997291365682
0.0997,11.9997292880304
0.0998,11.9997294372393
0.0999,11.9997295842286
0.1,11.9997297290312
